Category,Label,Detail
MOTOR,LEFT FWD,GPIO17 > IN1
MOTOR,LEFT BWD,GPIO27 > IN2
MOTOR,RIGHT FWD,GPIO22 > IN3
MOTOR,RIGHT BWD,GPIO23 > IN4
MOTOR,L298N > LEFT,Motor A Terminal
MOTOR,L298N > RIGHT,Motor B Terminal
SENSOR,ULTRA ECHO,GPIO24 < HC-SR04
SENSOR,ULTRA TRIG,GPIO25 > HC-SR04
SENSOR,SENSOR 5V,Pin2 > HC-SR04 VCC
SENSOR,SENSOR GND,Pin6 > HC-SR04 GND
SERVO,PAN SERVO,GPIO12 > MG90S
SERVO,TILT SERVO,GPIO13 > MG90S
POWER,18650 > L298N,7.4V IN CHECK +/-
POWER,COMMON GND,Pi GND <> L298N GND
BOARD,RASPBERRY PI 5,5V/3A USB-C
BOARD,L298N DRIVER,7.4V 2CH IN1-IN4
BOARD,HC-SR04,5V>3.3V DIVIDER
BOARD,VOLTAGE DIVIDER,1k+2k 3.3V SAFE
BOARD,ARDUCAM IMX708,CSI RIBBON AF
BOARD,PAN/TILT,PAN G12 TILT G13
WARN,18650 PACK 7.4V,MOTORS ONLY!
WARN,POWER BANK 5V,PI ONLY 3A USB-C
DIR,FRONT,
DIR,LEFT,
DIR,RIGHT,
DIR,CAM UP,
BRAND,ELKTRON,CW HACKATHON 2026
